objid,ra,dec,petroR90_r,spiral,elliptical
1237661463301456237,233.7615,34.60428,6.362915,1,0
1237661463301718141,234.3422,34.38433,6.918543,1,0
1237661463301980181,234.9415,34.0337,12.48893,1,0
1237661463302177041,235.4819,33.7238,9.575809,1,0
1237661463302308093,235.8138,33.56461,5.692571,1,0
1237661463302504661,236.162,33.22944,7.213631,1,0
1237661463304339639,240.1099,30.87703,8.347496,1,0
1237661463838458122,234.2918,34.77269,9.466358,0,1
1237661463838458198,234.4431,34.82706,6.738084,1,0
1237661463838851310,235.2543,34.33567,7.616527,1,0
1237661463839113561,235.897,33.95728,6.523215,1,0
1237661463839441165,236.4923,33.45881,9.081793,1,0
1237661463839572110,236.9029,33.31608,21.62675,0,1
1237661463839637893,236.9975,33.19569,5.34891,0,1
1237661463839703280,237.1109,33.1888,8.535257,1,0
1237661463839703315,237.0712,33.09822,8.266748,1,0
1237661463839899879,237.5372,32.89861,10.54611,0,1
1237661463840030943,237.8625,32.76528,8.335526,0,1
1237661463840096626,238.0333,32.55684,7.811112,1,0
1237661463840162185,238.1916,32.49417,9.878583,1,0
1237661463840686273,239.2444,31.90969,14.39468,0,1
1237661463840686397,239.303,31.85194,9.789161,0,1
1237661463840751806,239.3791,31.74825,9.242424,1,0
1237661463841669371,241.3863,30.56278,8.860031,1,0
1237661463841669377,241.3045,30.46661,11.87704,1,0
1237661463841669408,241.438,30.56495,7.048744,1,0
1237661463841735026,241.5429,30.31492,12.87676,1,0
1237661463841865978,241.7002,30.14117,7.060892,1,0
1237661463842193622,242.4175,29.77494,7.531836,0,1
1237661463842193716,242.5099,29.76056,12.33424,1,0
1237661463842259322,242.6399,29.61794,7.049004,1,0
1237661463842324576,242.7583,29.52467,13.71643,0,1
1237661463842324736,242.7244,29.60081,8.205215,1,0
1237661463842324743,242.6552,29.51239,13.8037,1,0
1237661463842324787,242.7038,29.531,6.579909,1,0
1237661463842324828,242.6904,29.46303,4.842953,1,0
1237661463842390208,242.7657,29.41044,12.5658,1,0
1237661463842390328,242.9609,29.51536,9.97576,1,0
1237661463842390369,242.8602,29.353,18.78659,1,0
1237661463842455568,242.9858,29.45456,11.99787,1,0
1237661463842455813,242.969,29.36317,9.817258,1,0
1237661463842586797,243.1675,29.17989,9.677649,0,1
1237661463842980012,244.1182,28.58047,9.910477,0,1
1237661463842980070,243.9363,28.5815,9.097942,1,0
1237661463842980200,244.1113,28.62497,13.00919,1,0
1237661463843045507,244.2071,28.50525,6.512989,1,0
1237661463843766374,245.5822,27.37211,9.430742,0,1
1237661463843766502,245.6055,27.50519,11.02071,1,0
1237661463843963141,245.9923,27.1865,10.85197,1,0
